date,CSI1000,CSI500,CYB,HS300,SH50
2013-01-04,3391.446,3258.251,705.342,2524.409,1870.5
2013-01-07,3441.691,3288.369,718.114,2535.985,1880.262
2013-01-08,3492.858,3327.04,733.138,2525.33,1857.688
2013-01-09,3497.93,3334.987,734.506,2526.126,1855.342
2013-01-10,3524.245,3356.35,741.18,2530.569,1855.487
2013-01-11,3454.624,3271.179,731.587,2483.23,1818.984
2013-01-14,3578.98,3384.745,760.55,2577.725,1893.1
2013-01-15,3649.138,3450.682,778.603,2595.856,1900.051
2013-01-16,3645.82,3450.56,774.485,2577.092,1877.0
2013-01-17,3602.849,3408.022,768.308,2552.758,1854.936
2013-01-18,3659.565,3464.645,787.386,2595.439,1886.794
2013-01-21,3689.909,3491.122,792.6,2610.898,1898.438
2013-01-22,3617.128,3435.434,775.135,2596.898,1898.502
2013-01-23,3630.037,3441.745,778.478,2607.456,1910.135
2013-01-24,3540.217,3369.732,757.869,2582.755,1900.176
2013-01-25,3536.897,3364.061,762.848,2571.674,1886.454
2013-01-28,3629.363,3449.794,784.76,2651.863,1957.395
2013-01-29,3663.641,3482.519,791.671,2675.866,1982.623
2013-01-30,3661.028,3500.578,783.682,2688.711,1989.315
2013-01-31,3639.191,3479.638,776.005,2686.882,1993.252
2013-02-01,3659.46,3507.709,782.363,2743.324,2055.724
2013-02-04,3624.82,3484.362,771.902,2748.028,2065.394
2013-02-05,3657.509,3520.646,780.981,2771.675,2068.952
2013-02-06,3681.308,3544.385,791.263,2775.844,2078.494
2013-02-07,3700.572,3557.667,805.586,2759.87,2048.575
2013-02-08,3755.544,3608.589,823.028,2771.725,2042.422
2013-02-18,3797.69,3627.776,835.277,2737.471,2014.577
2013-02-19,3737.653,3561.357,819.709,2685.606,1981.074
2013-02-20,3818.444,3635.375,850.863,2702.635,1978.303
2013-02-21,3750.167,3560.317,839.298,2610.549,1897.896
2013-02-22,3744.1,3548.358,838.763,2596.604,1883.475
2013-02-25,3790.962,3587.587,855.694,2604.96,1890.765
2013-02-26,3743.808,3533.204,851.217,2567.595,1865.129
2013-02-27,3745.413,3535.896,846.09,2594.677,1889.476
2013-02-28,3815.719,3608.199,861.095,2673.327,1956.606
2013-03-01,3876.638,3648.422,884.891,2668.836,1944.423
2013-03-04,3760.614,3518.717,863.5,2545.715,1841.624
2013-03-05,3848.588,3597.922,888.099,2622.807,1916.709
2013-03-06,3914.841,3653.934,902.903,2650.202,1933.699
2013-03-07,3867.608,3609.64,877.337,2619.479,1902.374
2013-03-08,3829.168,3570.38,864.699,2606.927,1901.481
2013-03-11,3832.111,3571.105,869.15,2592.372,1879.818
2013-03-12,3726.205,3481.175,839.836,2555.615,1854.618
2013-03-13,3696.453,3449.35,834.049,2527.486,1835.612
2013-03-14,3709.721,3464.854,842.036,2534.273,1838.358
2013-03-15,3715.14,3471.214,853.906,2539.873,1841.32
2013-03-18,3671.801,3427.12,852.117,2502.493,1811.239
2013-03-19,3675.682,3438.072,842.685,2525.097,1830.959
2013-03-20,3769.257,3527.772,866.267,2610.174,1905.765
2013-03-21,3818.092,3565.02,882.734,2614.988,1902.295
2013-03-22,3827.095,3579.92,882.001,2618.308,1904.462
2013-03-25,3834.292,3568.523,881.756,2613.097,1901.932
2013-03-26,3814.194,3543.812,876.361,2575.05,1861.259
2013-03-27,3825.753,3552.257,882.752,2583.53,1868.44
2013-03-28,3710.239,3448.977,867.511,2499.302,1791.643
2013-03-29,3712.22,3447.285,866.455,2495.083,1793.194
2013-04-01,3743.367,3470.96,877.001,2493.187,1784.071
2013-04-02,3680.148,3428.5,845.163,2486.391,1783.217
2013-04-03,3642.59,3397.232,835.138,2483.547,1789.666
2013-04-08,3669.009,3411.13,853.484,2472.299,1773.103
2013-04-09,3703.403,3444.371,861.991,2489.43,1788.633
2013-04-10,3685.726,3437.267,850.533,2485.309,1787.928
2013-04-11,3674.333,3423.217,847.782,2477.876,1784.128
2013-04-12,3643.71,3394.517,846.612,2462.112,1774.505
2013-04-15,3594.429,3346.851,836.342,2436.818,1759.802
2013-04-16,3629.737,3383.081,846.054,2459.592,1772.643
2013-04-17,3669.805,3412.416,867.511,2458.473,1761.617
2013-04-18,3681.914,3423.012,873.481,2464.851,1768.15
2013-04-19,3752.879,3495.242,892.21,2533.827,1827.983
2013-04-22,3793.253,3511.624,916.021,2530.67,1823.947
2013-04-23,3685.545,3416.449,893.79,2449.471,1760.677
2013-04-24,3770.947,3484.568,923.406,2495.579,1793.885
2013-04-25,3700.487,3431.401,903.634,2467.875,1778.294
2013-04-26,3627.497,3367.766,889.381,2447.306,1766.037
2013-05-02,3667.159,3383.398,913.651,2449.639,1763.05
